Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,Hispaniola,Jamaica,Nevis,St. Croix,Tortola,WI,,Bermuda,Boston,Falmouth,Nantucket,Newport RI,Philadelphia,Piscataqua,Salem,NA,,London,Glasgow,GB,,TOTAL,
,,1769,,,,Sterling,,,,,,,Quantity,Value,,,,,,,,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,tons,23.71,,1,157.56,15.04823559,,,,,,,0,0,,,,,,4,,,4,60,,,0,0,4,60
Bread,kegs,25.45,,0.044642857,157.56,0.721097178,,,,,,,0,0,,,,,,1,,,1,1,,,0,0,1,1
Cheese,pounds,,,,157.56,0,,,,,,,0,0,,1100,,448,400,,2240,350,4538,0,,,0,0,4538,0
Chocolate,pounds,,,,157.56,0,,,,,,,0,0,,524,,,,106,30,353,1013,0,,,0,0,1013,0
Coffee,pounds,,,,157.56,0,,,743,,,,743,0,,373,,,,556,,,929,0,,,0,0,1672,0
Cotton,pounds,1.37,,0.05,157.56,0.043475501,793,,44,,,,837,36,,10,,,,,,,10,0,,,0,0,847,36
Flax,pounds,,,,157.56,0,,,,,,,0,0,,50,,,,,,,50,0,,,0,0,50,0
Ginger,pounds,,,,157.56,0,,,1079,,,,1079,0,,,,,,28,,,28,0,,,0,0,1107,0
Loaf sugar,pounds,0.96,,0.05,157.56,0.030464585,,,,,,,0,0,,,,,,1875,,,1875,57,,,0,0,1875,57
Molasses,gallons,1.78,,0.05,157.56,0.056486418,,3580,1099,,,,4679,264,,1460,,,300,,1400,880,4040,228,,,0,0,8719,492
Pimento,pounds,,,,157.56,0,,,755,,,,755,0,,,,,,,,,0,0,,,0,0,755,0
Plank,feet,8.032,,0.0005,157.56,0.00254887,,,,,,,0,0,,,,,,400,,,400,1,,,0,0,400,1
Potatoes,barrels,,,,157.56,0,,,,,,,0,0,,,,,,3,,,3,0,,,0,0,3,0
Rice,casks,17.71,,,157.56,0,,,,,,,0,0,,,,,,1,,,1,0,,,0,0,1,0
Rum,gallons,3.29,,0.05,157.56,0.104404671,815,,1032,1200,,550,3597,376,,7381,,300,103,7365,1500,1305,17954,1874,,,0,0,21551,2250
Salt,bushels,1.62,,0.05,157.56,0.051408987,,,,,,1600,1600,82,1024,75,800,100,12,,65,300,2376,122,,,0,0,3976,204
Servants,,13.96,,1,100,13.96,,,,,,,0,0,,,,,,,,,0,0,152,,152,2122,152,2122
Sterling cash,pounds,1,,1,100,1,,,,,,,0,0,,,,,,,300,140,440,440,,,0,0,440,440
Sugar,hhds,52.74,,0.646875,157.56,21.65282273,,4,,,,,4,87,,,,,,,,,0,0,,,0,0,4,87
Sugar,pounds,52.74,,0.000446429,157.56,0.014943287,8400,,1308,3649,4392,,17749,265,,2184,,390,1784,7786,,3562,15706,235,,,0,0,33455,500
Tea,chests,,,,157.56,0,,,,,,,0,0,,,,,,1,,,1,0,,14,14,0,15,0
Wine,hhds,48.02,,0.5,157.56,15.23863925,,,,,,,0,0,,,,,,,,,0,0,8,,8,122,8,122
Wine,gallons,48.02,,0.007936508,157.56,0.241883163,,,,,,,0,0,660,,,,,340,,,1000,242,,,0,0,1000,242
Wine,quarter casks,48.02,,0.25,157.56,7.619319624,,,,,,,0,0,,,,,,3,,,3,23,,,0,0,3,23
Wine,pipes,48.02,,1,157.56,30.4772785,,,,,,,0,0,,,,,,1,,,1,30,100,,100,3048,101,3078
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,1110,,,,,,,,,,3313,,,,5292,,9715
