Good,Unit,Price,Price,Conv,Exch,Price Sterling,Barbadoes,Jamaica,WI,,Bermuda,North Carolina,Philadelphia,NA,,Whitehaven,GB,,Dublin,IRE,,Africa,AFR,,Fyal,SEU,,TOTAL,
,,1725,,,,,,,Quantity,Value,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bread,barrels,12.79,,0.089285714,139.34,0.81955238,,,0,0,,,91,91,75,,0,0,,0,0,,0,0,,0,0,91,75
Linen,yards,,,,139.34,0,,,0,0,,,,0,0,1570,1570,0,,0,0,,0,0,,0,0,1570,0
Molasses,tierces,1.46,,3.05,139.34,3.195780106,27,7,34,109,3,,,3,10,,0,0,,0,0,,0,0,,0,0,37,119
Molasses,hhds,1.46,,5.05,139.34,5.291373618,83,,83,439,,,,0,0,,0,0,,0,0,,0,0,,0,0,83,439
Molasses,barrels,1.46,,1.45,139.34,1.519305296,35,,35,53,,,,0,0,,0,0,,0,0,,0,0,,0,0,35,53
Negroes,,23.92,,1,100,23.92,70,1,71,1698,,,,0,0,,0,0,,0,0,609,609,14567,,0,0,680,16265
Pitch,barrels,18.42,,0.05,139.34,0.660973159,,,0,0,,5,,5,3,,0,0,,0,0,,0,0,,0,0,5,3
Rum,tierces,2.85,,3,139.34,6.136070044,187,,187,1147,3,,10,13,80,,0,0,,0,0,,0,0,,0,0,200,1227
Rum,barrels,2.85,,1.45,139.34,2.965767188,192,,192,569,1,,26,27,80,,0,0,,0,0,,0,0,,0,0,219,649
Rum,hhds,2.85,,5.25,139.34,10.73812258,178,8,186,1997,2,,22,24,258,,0,0,,0,0,,0,0,,0,0,210,2255
Salt,bushels,2.67,,0.05,139.34,0.095808813,200,,200,19,1450,,1000,2450,235,,0,0,,0,0,,0,0,,0,0,2650,254
Servants,,8.698181818,,1,100,8.698181818,,,0,0,,,,0,0,,0,0,115,115,1000,,0,0,,0,0,115,1000
Sugar,barrels,33.44,,0.175,139.34,4.199799053,228,,228,958,1,,,1,4,,0,0,,0,0,,0,0,,0,0,229,962
Sugar,hhds,33.44,,0.583035714,139.34,13.99218766,67,2,69,965,,,,0,0,,0,0,,0,0,,0,0,,0,0,69,965
Sugar,tierces,33.44,,0.480803571,139.34,11.53873362,4,2,6,69,,,,0,0,,0,0,,0,0,,0,0,,0,0,6,69
Tar,barrels,14.15,,0.05,139.34,0.507750825,,,0,0,,50,,50,25,,0,0,,0,0,,0,0,,0,0,50,25
Wine,pipes,20.5,,1,139.34,14.71221473,,7.25,7.25,107,,,69,69,1015,,0,0,,0,0,,0,0,190,190,2795,266.25,3917
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,8130,,,,,1785,,,0,,,1000,,,14567,,,2795,,28277
