PATU Entrances,,,,,,,,,
SUMMARY,,,,,,,,,
,,,,,,,,,SUM
,WI,NA,GB,IRE,NEU,SEU,AFR,UNK,TOTAL
1725,6504,1428,0,800,0,2236,11654,0,22622
1726,3915,1025,148,0,0,363,29596,469,35516
1727,3872,1011,307,0,0,466,0,0,5656
1728,3830,997,466,0,0,568,0,0,5861
1729,3787,983,626,0,0,671,0,0,6066
1730,3744,969,785,0,0,774,5301,0,11572
1731,3782,860,0,0,0,884,0,0,5526
1732,3821,751,0,0,0,994,19217,0,24783
1733,5695,834,0,0,0,833,10446,0,17809
1734,4048,1323,0,0,0,1573,0,0,6944
1735,2400,1812,0,0,0,2314,15348,0,21874
1736,1617,390,0,0,0,1542,25678,0,29228
1737,2182,141,571,0,0,1553,17967,0,22414
1738,1439,351,0,0,0,1686,11466,0,14942
1739,2339,2433,51,0,0,2668,12318,0,19810
1740,11938,597,0,0,0,1731,13000,0,27266
1741,2748,594,1379,0,0,4787,3602,0,13110
1742,3001,1150,214,0,0,2340,23337,0,30042
1743,6211,768,0,0,0,0,27489,0,34468
1744,4346,778,510,0,0,3349,5140,0,14122
1745,2186,816,489,0,0,1170,9238,0,13898
1746,3887,945,404,0,0,2041,0,0,7277
1747,5588,1075,319,0,0,2912,0,0,9894
1748,7289,1204,234,0,0,3783,0,0,12510
1749,8990,1334,150,260,0,4654,13061,0,28447
1750,3764,482,0,0,0,2611,0,0,6858
1751,9130,1078,615,0,0,1694,8462,0,20978
1752,8161,516,330,394,0,498,38358,0,48258
1753,6923,1056,358,0,0,1227,0,0,9563
1754,5685,1595,385,0,0,1957,0,0,9622
1755,8386,2523,186,0,0,0,0,0,11095
1756,4146,418,87,0,0,395,0,0,5047
1757,3591,365,94,0,0,1052,0,0,5101
1758,3035,311,101,0,0,1708,0,0,5155
1759,5547,645,0,0,0,854,0,0,7046
1760,8059,979,0,0,0,0,0,0,9038
1761,5749,1175,0,0,0,2070,5894,0,14887
1762,2366,1630,0,0,0,1050,1823,0,6869
1763,2961,1472,0,0,0,1333,0,0,5766
1764,3555,1315,202,0,0,1616,0,0,6689
1765,3278,2643,0,0,0,1998,0,0,7919
1766,3506,2504,0,0,0,1869,0,0,7879
1767,3735,2365,0,0,0,1739,0,0,7839
1768,3964,2226,1598,0,0,1610,0,0,9398
1769,2622,2144,26,0,0,2595,0,0,7388
1770,2948,2710,0,0,0,1298,0,0,6956
1771,3273,3277,0,0,0,0,0,77,6626
1772,,,,,,,,,0
1773,,,,,,,,,0
1774,,,,,,,,,0
1775,,,,,,,,,0
