Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,WI,,Bermuda,Boston,New England,New Hampshire,North Carolina,NA,,Glasgow,GB,,TOTAL,
,,1733,,,,Sterling,,,,Quantity,Value,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.1,,0.05,166.94,0.062896849,,10,,10,1,,173,,,,173,11,,0,0,183,12
Beef,barrels,36.86,,0.05,166.94,1.103989457,,22,,22,24,,,,,,0,0,,0,0,22,24
Corn,bushels,2.1,,0.05,166.94,0.062896849,400,900,1200,2500,157,1200,12245,1800,1400,70,16715,1051,,0,0,19215,1208
Deer Skins,,,,,166.94,0,,,,0,0,,213,6,,,219,0,,0,0,219,0
Negroes,,18.5,,1,100,18.5,,,,0,0,,,,,2,2,37,,0,0,2,37
Plank,feet,3.6,,0.0005,166.94,0.001078232,,,,0,0,,1400,100,,,1500,2,,0,0,1500,2
Pork,pounds,47.54,,0.00025,166.94,0.007119324,,,,0,0,,350,200,6000,,6550,47,,0,0,6550,47
Pork,hhds,47.54,,0.1,166.94,2.847729723,,,,0,0,,3,,,,3,9,,0,0,3,9
Pork,barrels,47.54,,0.05,166.94,1.423864862,,4,,4,6,,48,3,,,51,73,,0,0,55,79
Rum,hhds,2.3,,5.25,166.94,7.233137654,,,,0,0,,,1,,1,2,14,,0,0,2,14
Rum,gallons,2.3,,0.05,166.94,0.068887025,,,,0,0,,265.5,,10,,275.5,19,,0,0,275.5,19
Rum,barrels,2.3,,1.45,166.94,1.997723733,,,,0,0,,,1,,,1,2,,0,0,1,2
Staves (barrels),,22.5,,0.00005,166.94,0.000673895,,,,0,0,,2600,,,,2600,2,8530,8530,6,11130,8
Staves (hhds),,2.25,,0.001,166.94,0.00134779,,1500,,1500,2,600,,1000,,,1600,2,,0,0,3100,4
Staves and heading,,2.25,,0.001,166.94,0.00134779,6000,,,6000,8,,,,,,0,0,,0,0,6000,8
Tobacco,hhds,15.13,,0.4055,166.94,3.675101833,,,,0,0,,,,,,0,0,176,176,647,176,647
Wax,pounds,,,,166.94,0,,,,0,0,,5,,,,5,0,,0,0,5,0
Wheat,bushels,3.06,,0.05,166.94,0.091649695,,,,0,0,,3590,13,20,,3623,332,,0,0,3623,332
,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,198,,,,,,,1601,,,653,,2452
