Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,WI,,Bermuda,Boston,New England,New Hampshire,Rhode Island,NA,,TOTAL,
,,1732,,,,Sterling,,,,Quantity,Value,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Cheese,,,,,160.9,0,,,,0,0,,,,,29,29,0,29,0
Coffee,pounds,,,,160.9,0,,,,0,0,,25,,,,25,0,25,0
Coffee,bags,,,,160.9,0,,1,,1,0,,,,,,0,0,1,0
Cotton,pockets,0.97,,6,160.9,3.617153511,1,,,1,4,,,,,,0,0,1,4
Cotton,bags,0.97,,6,160.9,3.617153511,1,6,2,9,33,,,,,,0,0,9,33
Ginger,bags,,,,160.9,0,,,20,20,0,,,,,,0,0,20,0
Indigo,bags,4.42,,,160.9,0,,,1,1,0,,,,,,0,0,1,0
Molasses,tierces,1.37,,3.05,160.9,2.59695463,3,2,13,18,47,,,3,,,3,8,21,55
Molasses,hhds,1.37,,5.05,160.9,4.299875699,7,,,7,30,,24,,6,20,50,215,57,245
Pimento,pounds,,,,160.9,0,,,,0,0,,25,,,,25,0,25,0
Pimento,bags,,,,160.9,0,,,5,5,0,,,,,,0,0,5,0
Rum,hhds,2.5,,5.25,160.9,8.157240522,41,2,,43,351,,55,1,8,10,74,604,117,955
Rum,tierces,2.5,,3,160.9,4.661280298,25,16,4,45,210,,10,,1.5,,11.5,54,56.5,264
Rum,barrels,2.5,,1.45,160.9,2.252952144,5,28.5,4,37.5,84,,29,,,,29,65,66.5,149
Salt,bushels,2.175,,0.05,160.9,0.067588564,,2400,,2400,162,2400,800,,,100,3300,223,5700,385
Salt,hhds,2.175,,0.35,160.9,0.47311995,,,,0,0,,27,3,,,30,14,30,14
Sugar,barrels,33.35,,0.175,160.9,3.627252952,14,46,20,80,290,,14.5,,3,11,28.5,103,108.5,393
Sugar,hhds,33.35,,0.583035714,160.9,12.08467438,,,,0,0,,1,,,,1,12,1,12
Sugar,tierces,33.35,,0.480803571,160.9,9.965692422,,,,0,0,,1,,1,,2,20,2,20
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1211,,,,,,,1318,,2529
TOTAL PER REGION,,,,,,,,,,,,,,,,,,,,
