Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Bermuda,Boston,New England,North Carolina,Providence,Salem,NA,,Montrose,GB,,Ireland,IRE,,Isle of May,SEU,,TOTAL,
,,1741,,,,Sterling,,Quantity,Value,,,,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef,barrels,40.63,,0.05,146.14,1.390105378,,0,0,,,,6,,,6,8,,0,0,,0,0,,0,0,6,8
Cheese,pounds,,,,146.14,0,,0,0,,500,,,,,500,0,,0,0,,0,0,,0,0,500,0
Chocolate,pounds,,,,146.14,0,,0,0,,40,,,,,40,0,,0,0,,0,0,,0,0,40,0
Cotton,pockets,1.16,,6,146.14,4.762556453,2,2,10,,,,,,,0,0,,0,0,,0,0,,0,0,2,10
Deer Skin,parcels,,,,146.14,0,,0,0,,,,1,,,1,0,,0,0,,0,0,,0,0,1,0
Ginger,pounds,,,,146.14,0,,0,0,,12,,,,,12,0,,0,0,,0,0,,0,0,12,0
Linen,bales,,,,146.14,0,,0,0,,,,,,,0,0,,0,0,1,1,0,,0,0,1,0
Loaf sugar,pounds,1.63,,0.05,146.14,0.055768441,,0,0,,200,,,,,200,11,,0,0,,0,0,,0,0,200,11
Molasses,hhds,1.82,,5.05,146.14,6.289174764,,0,0,,,,,,2,2,13,,0,0,,0,0,,0,0,2,13
Molasses,tierces,1.82,,3.05,146.14,3.798412481,,0,0,,3,,,,,3,11,,0,0,,0,0,,0,0,3,11
Negroes,,26.64,,1,100,26.64,15,15,400,,,,,,,0,0,,0,0,,0,0,,0,0,15,400
Pepper,pounds,,,,146.14,0,,0,0,,9,,,,,9,0,,0,0,,0,0,,0,0,9,0
Pork,barrels,49.83,,0.05,146.14,1.704872041,,0,0,,,,20,,,20,34,,0,0,,0,0,,0,0,20,34
Rice,barrels,16.58,,,146.14,0,,0,0,,,,4,,,4,0,,0,0,,0,0,,0,0,4,0
Rum,gallons,2.96,,0.05,146.14,0.101272752,10180,10180,1031,,961,,,,418,1379,140,,0,0,,0,0,,0,0,11559,1171
Rum,barrels,2.96,,1.45,146.14,2.936909813,,0,0,,,2,,,,2,6,,0,0,,0,0,,0,0,2,6
Rum,tierces,2.96,,3,146.14,6.076365129,,0,0,,,4,,,,4,24,,0,0,,0,0,,0,0,4,24
Rum,hhds,2.96,,5.25,146.14,10.63363898,,0,0,,6,,,,,6,64,,0,0,,0,0,,0,0,6,64
Salt,bushels,2.33,,0.05,146.14,0.079718079,,0,0,1800,,,,500,,2300,183,,0,0,,0,0,2500,2500,199,4800,382
Salt,hhds,2.33,,0.35,146.14,0.55802655,,0,0,,26,,,,9,35,20,,0,0,,0,0,,0,0,35,20
Servants,,9.68,,1,100,9.68,,0,0,,,,,,,0,0,20,20,194,,0,0,,0,0,20,194
Spirits,kegs,2.96,,0.725,146.14,1.468454906,,0,0,,3,,,,,3,4,,0,0,,0,0,,0,0,3,4
Sugar,barrels,36.4,,0.15,146.14,3.736143424,49,49,183,,3,,,,,3,11,,0,0,,0,0,,0,0,52,194
Sugar,quarters,36.4,,0.0125,146.14,0.311345285,1,1,0,,,,,,,0,0,,0,0,,0,0,,0,0,1,0
Sugar,pounds,36.4,,0.000446429,146.14,0.011119474,8,8,0,,,,,,,0,0,,0,0,,0,0,,0,0,8,0
Sugar,cwt,36.4,,0.05,146.14,1.245381141,141,141,176,,,,,,,0,0,,0,0,,0,0,,0,0,141,176
Tar,barrels,14.08,,0.05,146.14,0.481729848,,0,0,,,,60,,,60,29,,0,0,,0,0,,0,0,60,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,1800,,,,,,,,558,,,194,,,0,,,199,,2751
