Good,Unit,Price,Price,Conv,Exch,Price,Bermuda,Boston,NA,,London,Bristol,Falmouth,Liverpool,Whitehaven,Dumfries,Glasgow,Greenock,GB,,Madeira,SEU,,TOTAL,
,,1745,,,,Sterling,,,Quantity,Value,,,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Corn,bushels,1.69,,0.05,174.77,0.048349259,,,0,0,,,,,,,,,0,0,300,300,15,300,15
Deer Skin,chests,,,,174.77,0,,,0,0,1,,,,,,,,1,0,,0,0,1,0
Deer Skin,barrels,,,,174.77,0,,1,1,0,,,,,,,,,0,0,,0,0,1,0
Deer Skins,hhds,,,,174.77,0,,,0,0,1,,,,,,,,1,0,,0,0,1,0
Indigo,casks,6.34,,,174.77,0,,,0,0,,,,,,,1,,1,0,,0,0,1,0
Iron,tons,8,,1,174.77,4.577444642,,,0,0,25,,,,,,,,25,114,,0,0,25,114
Logs (walnut),,,,,174.77,0,,,0,0,,,,2,60,,,,62,0,,0,0,62,0
Peas,bushels,1.69,,0.05,174.77,0.048349259,,,0,0,,,,,,,,,0,0,300,300,15,300,15
Plank,feet,4.688,,0.0005,174.77,0.001341191,,,0,0,,,,,1843,,1100,500,3443,5,,0,0,3443,5
Plank,pieces,4.688,,0.005,174.77,0.013411913,3,,3,0,20,23,,,,,,,43,1,,0,0,46,1
Rum,hhds,3.25,,5.25,174.77,9.76283115,,,0,0,2,,,,,,,,2,20,,0,0,2,20
Skins,tierces,,,,174.77,0,,,0,0,,1,,,,,,,1,0,,0,0,1,0
Skins,bundles,,,,174.77,0,,,0,0,,1,,,,,,,1,0,,0,0,1,0
Skins,hhds,,,,174.77,0,,8,8,0,48,9,,,,,1,,58,0,,0,0,66,0
Skins,barrels,,,,174.77,0,,4,4,0,3,1,,1,,,,,5,0,,0,0,9,0
Staves,,2.93,,0.001,174.77,0.001676489,,,0,0,68500,5500,10000,7835,22150,3200,72800,10000,199985,335,2030,2030,3,202015,338
Sugar,casks,43.02,,0.15,174.77,3.692281284,,,0,0,,,,,,,51,,51,188,,0,0,51,188
Tar,barrels,10.38,,0.05,174.77,0.296961721,,,0,0,,,,,350,,,,350,104,,0,0,350,104
Tobacco,hhds,13.05,,0.4875,174.77,3.640141329,,,0,0,3837,381,299,460,1187,145,3377,395,10081,36696,,0,0,10081,36696
Turpentine,barrels,12.51,,0.05,174.77,0.357898953,,,0,0,,,,,52,,,,52,19,,0,0,52,19
Wax,pounds,,,,174.77,0,,,0,0,,,,,,,,,0,0,300,300,0,300,0
Wheat,bushels,2.6,,0.05,174.77,0.074383475,,1697,1697,126,,,,,,,,,0,0,2111,2111,157,3808,283
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,126,,,,,,,,,,37482,,,190,,37798
