Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Bermuda,Boston,Salem,NA,,London,Bristol,Liverpool,Whitehaven,Aberdeen,Glasgow,GB,,Oporto,SEU,,TOTAL,
,,1755,,,,Sterling,,Quantity,Value,,,,Quantity,Value,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.16,,0.05,168.79,0.063984833,,0,0,,,20,20,1,,,,,700,,0,0,40,40,3,60,4
Corn,bushels,2.16,,0.05,168.79,0.063984833,5172.5,5172.5,331,5300,,1800,7100,454,,,,,,,0,0,9915,9915,634,22187.5,1419
Cotton,casks,1.4,,,168.79,0,,0,0,,,,0,0,1,,,,,,0,0,,0,0,0,0
Cotton,bags,1.4,,6,168.79,4.97659814,,0,0,,,,0,0,,,2,,,,0,0,,0,0,0,0
Deer Skin,chests,,,,168.79,0,,0,0,,,,0,0,,,,8,,,0,0,,0,0,0,0
Deer Skins,bundles,,,,168.79,0,,0,0,,,,0,0,,,,1,,,0,0,,0,0,0,0
Deer Skins,,,,,168.79,0,,0,0,,,,0,0,,,,1327,,,0,0,,0,0,0,0
Ginger,bags,,,,168.79,0,,0,0,,,,0,0,,,,,20,,0,0,,0,0,0,0
Handspikes,,,,,168.79,0,,0,0,,,,0,0,144,,36,,,,0,0,,0,0,0,0
Heading,,4.57,,0.001,168.79,0.002707506,,0,0,,,,0,0,,,1500,,,,0,0,,0,0,0,0
Hoops,,,,,168.79,0,,0,0,,,,0,0,,,,,,2772,0,0,,0,0,0,0
Logs (walnut),,,,,168.79,0,,0,0,,,,0,0,,,,30,125,,0,0,,0,0,0,0
Peas,bushels,2.16,,0.05,168.79,0.063984833,62,62,4,,,,0,0,,,,,,,0,0,20,20,1,82,5
Pig iron,tons,7.38,,1,168.79,4.372296937,,0,0,,,,0,0,145,65.5,70,119.5,10,,633.9830559,2772,,0,0,633.9830559,2772
Plank,feet,7.312,,0.0005,168.79,0.002166005,,0,0,,,50,50,0,1700,30,1000,5620,,7466,3.682208662,0,3000,3000,6,3053.682209,6
Planks,,7.312,,0.005,168.79,0.021660051,,0,0,,,,0,0,,,20,,70,590,0,0,,0,0,0,0
Rum,gallons,2.84,,0.05,168.79,0.084128207,,0,0,,,,0,0,230.5,,,,,109,19.39155163,2,,0,0,19.39155163,2
Rum,hhds,2.84,,5.25,168.79,8.833461698,,0,0,1.5,1,,2.5,22,2,1,2,,1,,17.6669234,156,3,3,27,23.1669234,205
Salt,bushels,1.515,,0.05,168.79,0.044878251,,0,0,100,,,100,4,,,,,,,0,0,,0,0,100,4
Shingles,,,,,168.79,0,,0,0,5000,,,5000,0,,,,,,,0,0,,0,0,5000,0
Staves,,4.57,,0.001,168.79,0.002707506,,0,0,,,,0,0,12500,,10000,5500,78890,62700,33.84382961,0,,0,0,33.84382961,0
Staves (hhds),,4.57,,0.001,168.79,0.002707506,940,940,3,,13965,500,14465,39,89800,13350,26760,28000,33000,76000,243.1340719,1,,0,0,15648.13407,43
Tobacco,hhds,15.08,,0.5425,168.79,4.846791872,,0,0,1,,,1,5,2888,827,2005,2840,221,3635,13997.53493,67843,,0,0,13998.53493,67848
Tobacco,barrels,15.08,,0.27125,168.79,2.423395936,1,1,2,,,,0,0,,,,1,,,0,0,,0,0,1,2
Turpentine,barrels,15.01,,0.05,168.79,0.444635346,,0,0,,,,0,0,,,,,,20,0,0,,0,0,0,0
Wheat,bushels,4.49,,0.05,168.79,0.13300551,,0,0,,,10,10,1,,,,,,,0,0,,0,0,10,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,340,,,,,526,,,,,,,,70774,,,671,,72311
