Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Bermuda,Boston,North Carolina,Philadelphia,NA,,London,GB,,TOTAL,
,,1730,,,,Sterling,,Quantity,Value,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Cheese,pounds,,,,152.03,0,,0,0,,,50,,50,0,,0,0,50,0
Convicts,,9.058181818,,1,100,9.058181818,,0,0,,,,,0,0,130,130,1178,130,1178
Molasses,tierces,1.54,,3.05,152.03,3.089521805,1,1,3,,,,,0,0,,0,0,1,3
Molasses,hhds,1.54,,5.05,152.03,5.115437743,35,35,179,2,4,,5,11,56,,0,0,46,235
Pig iron,tons,,,,152.03,0,,0,0,,,,84,84,0,,0,0,84,0
Pitch,barrels,15,,0.05,152.03,0.493323686,,0,0,,,31,,31,15,,0,0,31,15
Rice,casks,,,,152.03,0,,0,0,,,1,,1,0,,0,0,1,0
Rum,tierces,2.51,,3,152.03,4.952969809,11,11,54,6,,,7,13,64,,0,0,24,118
Rum,hhds,2.51,,5.25,152.03,8.667697165,73,73,633,,8,,2,10,87,,0,0,83,720
Rum,barrels,2.51,,1.45,152.03,2.393935407,,0,0,4,,,15,19,45,,0,0,19,45
Salt,hhds,3.09,,0.35,152.03,0.711372755,,0,0,40,10,,,50,36,,0,0,50,36
Staves (barrel),,22.5,,0.00005,152.03,0.000739986,,0,0,,,,13700,13700,10,,0,0,13700,10
Sugar,hhds,32.13,,0.583035714,152.03,12.32186904,,0,0,,,,14,14,173,,0,0,14,173
Sugar,casks,32.13,,0.175,152.03,3.698447675,,0,0,4,,,,4,15,,0,0,4,15
Sugar,barrels,32.13,,0.175,152.03,3.698447675,33,33,122,,2,,8,10,37,,0,0,43,159
Tar,barrels,11.04,,0.05,152.03,0.363086233,,0,0,,,20,,20,7,,0,0,20,7
Tobacco,hhds,14,,0.3995,152.03,3.678879169,,0,0,,,,20,20,74,,0,0,20,74
Wine,pipes,20.5,,1,152.03,13.48418075,,0,0,,,,,0,0,31,31,418,31,418
Wine,hhds,20.5,,0.5,152.03,6.742090377,,0,0,,,,,0,0,1,1,7,1,7
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,991,,,,,,619,,,1603,,3213
