Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,WI,,Bermuda,Boston,Halifax,New York,Rhode Island,Salem,NA,,London,Liverpool,Southampton,Whitehaven,Glasgow,Leith,GB,,Lisbon,Madeira,SEU,,TOTAL,
,,1765,,,,Sterling,,,Quantity,Value,,,,,,,Quantity,Value,,,,,,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,cwt,26.35,,0.05,169.9,0.775456151,,,0,0,,,,,,,0,0,200,86,,,406,,692,537,,,0,0,692,537
Bar iron,pounds,26.35,,0.000446429,169.9,0.006923716,,,0,0,,,,,,,0,0,,27,,,17,,44,0,,,0,0,44,0
Bar iron,quarters,26.35,,0.0125,169.9,0.193864038,,,0,0,,,,,,,0,0,,3,,,2,,5,1,,,0,0,5,1
Bread,hhds,24.92,,0.178571429,169.9,2.619187758,5,,5,13,,,,,,,0,0,,,,,,,0,0,,,0,0,5,13
Bread,barrels,24.92,,0.089285714,169.9,1.309593879,8,,8,10,,,,,,,0,0,,,,,,,0,0,,,0,0,8,10
Cheese,pounds,,,,169.9,0,,,0,0,,,,,500,,500,0,,,,,,,0,0,,,0,0,500,0
Chocolate,pounds,,,,169.9,0,,,0,0,,,200,,70,,270,0,,,,,,,0,0,,,0,0,270,0
Corn,bushels,3.01,,0.05,169.9,0.088581519,4650,15547,20197,1789,100,10860,1762,2051,9950,10840,35563,3150,,,,,,,0,0,2467,650,3117,276,58877,5215
Cotton,pounds,1.87,,0.05,169.9,0.055032372,,,0,0,,,,,,76,76,4,,,,,,,0,0,,,0,0,76,4
Deer Skin,chests,,,,169.9,0,,,0,0,,,,,,,0,0,,,,2,,,2,0,,,0,0,2,0
Deer Skins,boxes,,,,169.9,0,,,0,0,,,,,,,0,0,,,,,1,,1,0,,,0,0,1,0
Flour,barrels,13.5,,0.089285714,169.9,0.709450938,,,0,0,,34,,,4,,38,27,,,,,,,0,0,,161,161,114,199,141
Handspikes,,,,,169.9,0,,,0,0,,,,,,,0,0,602,228,,,120,,950,0,,,0,0,950,0
Hemp,quarters,6.38,,0.116666667,169.9,0.438100844,,,0,0,,,,,,,0,0,,2,,,3,,5,2,,,0,0,5,2
Hemp,tons,6.38,,9.333333333,169.9,35.04806749,,,0,0,,,,,,,0,0,,1,,,2,,3,105,,,0,0,3,105
Hemp,pounds,6.38,,0.000446429,169.9,0.001676406,,,0,0,,,,,25,,25,0,,19,,,5,,24,0,,,0,0,49,0
Hemp,cwt,6.38,,0.466666667,169.9,1.752403375,,,0,0,,,,,29,,29,51,,19,,,67,,86,151,,,0,0,115,202
Hoops,,,,,169.9,0,,,0,0,,,,,,,0,0,,,,,2004,,2004,0,,,0,0,2004,0
Logs,,,,,169.9,0,,,0,0,,,,,,,0,0,,,,,32,,32,0,,,0,0,32,0
Logs (walnut),,,,,169.9,0,,,0,0,,,,,,,0,0,24,41,,,,,65,0,,,0,0,65,0
Peas,bushels,3.01,,0.05,169.9,0.088581519,105,353,458,41,,136,30,,,,166,15,,,,,,,0,0,57,,57,5,681,61
Peas/beans,bushels,3.01,,0.05,169.9,0.088581519,,,0,0,,,12,,,124,136,12,,,,,,,0,0,,,0,0,136,12
Pig iron,tons,8.79,,1,169.9,5.173631548,,,0,0,,,,,,,0,0,182,77,16,41.5,237,10,563.5,2915,,,0,0,563.5,2915
Pig iron,cwt,8.79,,0.05,169.9,0.258681577,,,0,0,,,,,,,0,0,,,,,,10,10,3,,,0,0,10,3
Plank,feet,10.944,,0.0005,169.9,0.003220718,,,0,0,,,,,,,0,0,1700,,,,3522,,5222,17,,,0,0,5222,17
Plank,M feet,10.944,,0.5,169.9,3.220718069,,,0,0,6,,,,,,6,19,,,,,,,0,0,,,0,0,6,19
Plank,pieces,10.944,,0.005,169.9,0.032207181,,,0,0,,,,,,,0,0,,54,,56,,,110,4,,,0,0,110,4
Planks,,10.944,,0.005,169.9,0.032207181,,,0,0,,,,,,,0,0,,,,,7,,7,0,,,0,0,7,0
Pork,barrels,74.36,,0.089285714,169.9,3.907760868,,66,66,258,,3,,,,6,9,35,,,,,,,0,0,,,0,0,75,293
Pork,pounds,74.36,,0.000446429,169.9,0.019538804,,,0,0,,,,,,600,600,12,,,,,,,0,0,,,0,0,600,12
Rum,barrels,3.02,,1.45,169.9,2.57739847,,,0,0,,2,3,,,2,7,18,,,,,,,0,0,,,0,0,7,18
Rum,hhds,3.02,,5.25,169.9,9.331959976,,,0,0,,1,1,,,4,6,56,5,1,1,1,9,1,18,168,,,0,0,24,224
Shingles,,,,,169.9,0,35000,62100,97100,0,,,,2000,,,2000,0,13000,,,,15000,,28000,0,,,0,0,127100,0
Skins,cases,,,,169.9,0,,,0,0,,,,,,,0,0,2,,,,,,2,0,,,0,0,2,0
Staves,,6.84,,0.001,169.9,0.004025898,,1800,1800,7,,3000,,800,1400,,5200,21,99900,29300,4000,15300,199200,8000,355700,1432,900,,900,4,363600,1464
Tar,barrels,12.4,,0.05,169.9,0.364920541,,,0,0,,,,,,,0,0,6,,,,,,6,2,,,0,0,6,2
Tea,canisters,,,,169.9,0,,,0,0,,,,,1,,1,0,,,,,,,0,0,,,0,0,1,0
Tobacco,hhds,18.13,,0.555,169.9,5.922395527,,4,4,24,,,,,,,0,0,3985,1397,218,1009,5104,290,12003,71087,,,0,0,12007,71111
Wheat,bushels,4.7,,0.05,169.9,0.138316657,,,0,0,,131,50,794.5,195,137,1307.5,181,,,,,,,0,0,779,1193,1972,273,3279.5,454
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,2142,,,,,,,,3601,,,,,,,,76424,,,,672,,82839
