Good,Unit,Price,Price,Conv,Exch,Price,Bermuda,Boston,Salem,NA,,Whitehaven,GB,,Africa,AFR,,TOTAL,
,,,1740,,,Sterling,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Linen,yards,,,,165.45,0,,,,0,0,1234,1234,0,,0,0,1234,0
Molasses,hhds,1.65,,5.05,165.45,5.036264733,,16,5,21,106,0,0,0,,0,0,21,106
Negroes,,26.64,,1,100,26.64,,,,0,0,0,0,0,,53,1412,53,1412
Rum,tierces,2.53,,3.05,165.45,4.663946812,,,1,1,5,0,0,0,,0,0,1,5
Rum,hhds,2.53,,5.05,165.45,7.72227259,3,33,6,42,324,0,0,0,,0,0,42,324
Salt,bushels,1.935,,0.05,165.45,0.058476881,1640,,,1640,96,0,0,0,,0,0,1640,96
Sugar,tierces,37.88,,0.444196429,165.45,10.16993697,,2,,2,20,0,0,0,,0,0,2,20
Sugar,hhds,37.88,,0.596428571,165.45,13.65531235,,,2,2,27,0,0,0,,0,0,2,27
Sugar,barrels,37.88,,0.15,165.45,3.434270172,,5,,5,17,0,0,0,,0,0,5,17
Wine,pipes,20.17,,1,165.45,12.19099426,,1,,1,12,0,0,0,,0,0,1,12
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,607,,,0,,,1412,,2019
